Tag,Agency,Overseas Post or Washington D.C. Office,Country,Project Name,Project Summary,Regional or Specific Knowledge,Technical Skills w/Level,Foreign Languages w/Level,Requirements/Comments
16,State ,Guangzhou,China,History of U.S. Consulate General Guangzhou,Help research a history of U.S. Consulate General Guangzhou in celebration of the opening of the Consulate's $260 million New Consulate Compound,Chinese reading ability preferred;  Background in history or international relations preferred; Ability in research and writing key,Research - Int.,Chinese-Mandarin - Int.,"eInterns will assist in researching and writing updated history of the United States' diplomatic presence in South China, which will be seen by the tens of thousands of Chinese people who visit the Consulate and are reached by our public diplomacy programs each year.  Research tasks may include reading and summarizing source materials, visiting libraries and archives, and finding pictures, maps, and other materials. "
17,State,Shanghai,China,Chinese Students in the United States,Build a digital map of Chinese student populations in the U.S. and conduct trending analysis,,MS Office platform - Int.; Research - Int.,,
18,State,Shanghai,China,Tourism Patterns (China > U.S.),Research and analyze Chinese tourist patterns and tour group/agencies in the United States,Excel and spreadsheet/chart experience might be helpful,MS Office platform - Int.; Research - Int.,,
19,State,Shanghai,China,International Student Recruitment (China),Provide research and analysis on the recruitment of Chinese students by U.S. universities and/or high schools,Graphic design or experience with charts might be helpful,MS Office platform - Int.; Research - Int.,,
20,State,Shanghai,China,Social Media/Media Monitoring,Conduct online research to create weekly and occasional reports that will inform U.S. Government employees about important news and developments in the three provinces in Shanghai's consular district,"Experience in Anhui, Jiangsu or Zhejiang is particularly welcome",Social media - Adv.,Chinese-Mandarin - Adv.,
21,State,Shanghai,China,Research on Civil Society in East China,"Assist the Shanghai Political Unit in reporting on civil society (researching use of social media by citizen groups), social stability, and other issues in East China",Knowledge of mainland China society/politics preferred,Research - Int.; Social media - Int.,Chinese-Mandarin - Adv.,
22,State ,Bogota,Colombia,Reducing Illegal Child Recruitment,Support research and social media management for anti-recruitment efforts in Colombia,"Background knowledge about the Colombian conflict is not required, but desirable",Blogging - Int.; Research - Beginner; Social media - Adv.,Spanish - Adv.,Flexible work schedule preferable
23,USDA,San Jose,Costa Rica,Export Promotion ,Identify potential exporters interested in Costa Rica and Central America,"Candidates should be proactive, able to work independently, and interested in promoting U.S. exports to Costa Rica and Central America with basic understanding of business and international trade opportunities. ",MS Office platform - Int.; Research - Adv.,,
24,State ,Abidjan,Cote d'Ivoire,Higher Education Video Diaries,Produce a series of short videos in French related to the American higher education system to be presented to university students from Ivorian universities ,,Video - Adv.; Video recorder - Adv.; Web chat - Adv.; Webcam - Adv.,French - Adv.,
25,State ,Nicosia,Cyprus,Social Media Youth Outreach,"Assist with public affairs outreach programs by using social media, website, and audio-visual tools to connect with and inform various target groups about less known areas of U.S. culture, education, and policy",Knowledge of Cyprus political sensitivities and the EU environment would be helpful,Digital camera - Int.; Digital film editing software - Int.; Social media - Adv.; Web chat - Beginner,,"We wish to further our existing social media presence and make it more engaging for our audiences.  We also wish to develop audiovisual material which is attractive to younger audiences.  We aim to work with the virtual eIntern to better incorporate American youth culture into our outreach, and thus enable us to promote U.S. arts, science, education, and policy through better communication with Cypriot youth. "
26,State ,Overseas TBD,TBD,Cloak and Chatter (Civil Society Resources),"Support the development of an anonymity toolkit (application) for civil society organizations working to combat narco-trafficking, corruption, and/or trafficking in persons","Strong computer science background and familiarity with programming, computer networking, VPNs, anonymizer programming, social media, SMS programming, and project management",Research - Adv.; Social media - Adv.,,
27,State ,Cairo,Egypt,Cairo Current Events Meet-Ups,"Work with Public Affairs Cairo to facilitate weekly, virtual meet-ups with Egyptian youth to follow news headlines and breaking news in U.S. and Egyptian media sources, discussing and analyzing the news and identifying similarities and differences","Interest in current events, both domestic and international; Background in journalism or mass communication preferred, but not essential; Ability to lead a group discussion",Web chat - Beginner,,
28,USAID,Cairo,Egypt,Nutrition Research ,Support research on under-nutrition in Egypt,"Basic knowledge of public health is required, an interest in nutrition is desired",MS Office platform - Int.; Research - Int.,,eIntern candidates should expect to work with both U.S. and Foreign Service National Staff in Egypt on this research project.
29,USAID,Addis Ababa,Ethiopia,Tech Horizons for Participatory Governance Gains,Identify innovations and best practices in network analysis and mobile tech to energize citizen-government engagement for high-impact development,"Development in rural economies, especially in Africa, would be helpful; Familiarity with social networks and/or mobile tech app development/deployment would a plus",Blogging - Int.; Research - Adv.; Social media - Adv.,,eIntern must be creative and rigorous in sifting research to uncover actionable information.
30,State,Paris,France,Paris Consular Outreach,"Improve customer service at one of the busiest Consular Sections in the world by delivering updated, easy-to-access information to our U.S. citizens and other consular customers abroad","Public relations experience and solid written communications recommended; Knowledge and experience with social media essential; Knowledge of web design, application development, and mobile platforms",Blogging - Int.; Video - Int.; Social media - Int.; Website design and development - Int.; Website editing - Int.,,"Projects will be interesting, varied, and may be tailored to the students' strongest skills.  Intermediate skills in the areas cited, however, are requested as a minimum.  Preference will be given to the most advanced communication and technical skills and experience, enthusiasm and interest in US government.  Consultation with other Embassy sections and with Washington may be part of the assignment."
31,State ,Lyon,France,Femmes Actives et Sportives pour Toujours (FAST),"Oversee the organization and implementation of the Femmes Actives et Sportives pour Toujours (FAST) program, a sports-outreach program, anchored in the 9-month 2013-14 academic year","Interest in women's issues, civil rights, and gender equality and an interest in sports and exercise helpful; Advanced French language necessary; organized and capable of effectively communicating with the consulate and the program's partners via email and Web chat",Social media - Int.; Web chat - Int.,French - Adv.,
32,State ,Banjul,Gambia,Coaching College Candidates,Coach Competitive College Club (CCC) students in The Gambia as they implement a project that develops solutions to a social problem in their communities,Ability to counsel and step back,Research - Adv.; Web chat - Adv.,,"Coach at least two teams of CCC students to think creatively.  Competitive College Club is an EducationUSA program that assists high school students who want to apply to competitive US universities.  Students meet monthly and participate in lectures, clubs, and test preparation.  Students are preparing themselves both academically and socially for a US university."
33,State ,Berlin,Germany,Creating a Website for Embassy Berlin,Create Berlin's website and explore other digital or virtual outreach options,"Know how to use Wordpress to create websites and have a wide-ranging knowledge of American politics, culture, and society",Research - Int.; Website design and development - Beginner,,
34,State ,Chennai,India,Consulate Chennai’s “TYKA?” Social Media Campaign,"Assist the U.S. Consulate Chennai by creating content for its Facebook and Twitter campaign called “Think You Know America?” (TYKA) that aims to introduce a large Indian audience to the history, culture, and geography of the United States",,Research - Beginner; Social media - Beginner,,If you have an interest in public diplomacy and in India -- and are also comfortable with social media tools -- this project is for you!
35,State ,New Delhi,India,Social Media Engagement,"Engage in virtual diplomacy by identifying new and effective social media platforms, improving the U.S. Embassy's online outreach strategy, and evaluating content","Willingness to read about India, its culture, and its social media trends",Research - Adv.; Social media - Adv.; Web chat - Adv.; Webcam - Adv.,,"The successful candidate will be creative, motivated, and well-versed in social media."
36,USAID,Jakarta,Indonesia,South-South and Triangular Cooperation Research,"Enhance the U.S. Mission’s ability to provide critical analysis, research, and evidenced-based approach in South-South and Triangular Cooperation (SSTC) to support Indonesia as an emerging donor",Knowledge or interest in Indonesia and international development preferred but not required ; Data analysis required,Blogging - Int.; MS Office platform - Int.; Research - Int.,,
37,USAID,Jakarta,Indonesia,Geospatial Information Systems Indonesia,"Provide research, data analysis, and production of GIS cartographic products and reports to support USAID activities in Indonesia","Knowledge or interest in Indonesia and international development preferred but not required; Technical knowledge of industry-standard GIS software, Spatial Data Infrastructure (SDI), and creation of geospatial data products",MS Office platform - Int.; Research - Int.,,
38,USAID,Jakarta,Indonesia,Science & Technology Research,"Advance USAID's partnership with Indonesia by harnessing the potential of science, technology, and innovation (ST&I) to transform development and to help strengthen key parts of Indonesia’s scientific ecosystem by being part of the team responsible for designing new programs in ST&I",Knowledge of Bahasa Indonesia is a plus; Interest or experience in science diplomacy and international science cooperation is a plus,Research - Adv.,,
39,EducationUSA,Tokyo,Japan,Promoting Study Abroad to the U.S. ,Encourage Japanese students to consider studying in the United States by executing creative social media projects such as conducting interviews and creating short video clips of Japanese students currently studying on campus,"Some understanding of the Japanese culture and language would be valuable; Knowledge of and interest in U.S. higher education opportunities; Preference will be given to applicants with experience with the U.S. educational system; Cross-cultural skills, especially in the area of communication",Blogging - Beginner; Video - Int.; Video recorder - Int.,Japanese - Beginner,Please visit the websites below to get a feel for some of the things eInterns would be facilitating:  http://blog.livedoor.jp/educationusa  http://educationusa.info/irctokyo  I173
40,State ,Astana,Kazakhstan,Public Affairs for Library Resources,"Develop a collection of portable reader devices, support publicity of Information Resource Center resources, create photo/video content for Public Affairs section",Collection development; Excellent navigation in Apple Apps Store and Newsstand; Good knowledge in English Easy Reading Collection,Video - Int.; Photography - Int.; Research - Adv.; Social media - Adv.; Website design and development - Beginner,,"Strong communication skills; vlogging, using social media/ web design.    "
41,USAID,Maseru,Lesotho,Health System Strategy Research,"Measure the extent of ""knowledge translation"" and provide baseline findings on key neglected priorities and populations within the health system strategy in Lesotho and provide a series of recommendations",,Blogging - Int.; Graphic design - Int.; MS Office platform - Int.; Research - Adv.; Web chat - Int.,,
42,USAID,Maseru,Lesotho,Medical Staff Outreach and Research,Develop a database of Basotho medical staff in the diaspora,,Blogging - Int.; MS Office platform - Int.; Research - Int.; Social media - Int.,,
43,State,Vilnius,Lithuania,Promoting Economic Understanding of the U.S.,"Introduce a Lithuanian audience to the U.S. marketplace by highlighting principal industries and exports from a variety of U.S. cities and states, through the use of promotional short videos",Strong economic background with some understanding of international business and trade required,Blogging - Int.; Video - Int.; Digital film editing software - Beginner; Research - Int.,,
44,State ,Antananarivo ,Madagascar,Virtual Programs for American Center Antananarivo,"Identify electronic resources for the American Center's online library and find speakers for virtual programming around youth, democracy, and the environment","Background knowledge of Madagascar a plus; iPad, FaceTime, Google Hangouts (video conferencing) experience required  ",Research - Adv.; Social media - Adv.; Web chat - Adv.,French - Int.,Plan and schedule virtual programs at least once a month; provide a regular list of e-resources.
45,State ,Antananarivo,Madagascar,Virtual Programs for American Corner Comoros,"Identify electronic resources for the American Corner's online library and find speakers for virtual programming around youth, democracy, and ecotourism","Background knowledge of Comoros; iPad, FaceTime, Google Hangouts (video conferencing) experience",Research - Adv.; Social media - Adv.; Web chat - Adv.,French - Int.,Plan and schedule virtual programs at least once a month; provide a regular list of e-resources.
46,State ,Antananarivo,Madagascar,Virtual Programs for Interactive Spaces Antananarivo,"Identify electronic resources for the Interactive Spaces online library and find speakers for virtual programming around youth, democracy, and the environment","Background knowledge of Madagascar preferred; iPad, FaceTime, Google Hangouts (video conferencing) experience required  ",Research - Int.; Social media - Adv.; Web chat - Adv.,French - Int.,Plan and schedule virtual programs at least once a month; provide a regular list of e-resources.
47,EducationUSA,Kuala Lumpur,Malaysia,Social Media Strategy and Outreach,"Develop and support EducationUSA Malaysia’s outreach, primarily via Facebook, to prospective, current, and former Malaysian students of U.S. universities for marketing and networking purposes",Interest in Malaysia and involved in Malaysian Students Association; must be a regular user of Facebook,Research - Int.; Social media - Adv.,,
48,State ,Mexico City,Mexico,English Language Advising,Help the Locally Engaged Staff community or any employee at the American Embassy in Mexico with English grammar or language questions,English Language high proficiency,,,
49,State ,Mexico City,Mexico,Culture of Lawfulness,Create and edit print and video content for the Culture of Lawfulness program in Mexico and develop engagement strategies to motivate program participants to continue and advance rule of law,,Digital film editing software - Int.,,
50,State ,Mexico City,Mexico,Reduce Utility Expenses,"Present a project to reduce utility expenses for the U.S. Embassy in Mexico, the consulates and residences, utilities include electricity, gas and water bills. Green initiative and savings",,,,
51,State ,Mexico City,Mexico,Public Health Data Analysis,Support analysis of public health data on the prevalence of drug use in Mexico to inform Government of Mexico and U.S. Government public health programs,Background in statistics required; Background in political science and/or public health helpful,MS Office platform - Adv.; Research - Adv.,Spanish - Adv.,Applicants must also be able to use database software (MS Access or comparable product) and data analysis/statistical software (STATA or comparable product).
52,State,Mexico City,Mexico,Crime of Extortion in Mexico ,Help explore the impact from extortion in Mexico by identifying key players and how money is made,,,Spanish - Adv.,
53,State,Mexico City,Mexico,Safety of Public Institutions ,Draft a comprehensive paper outlining activities Mexico has taken to secure its critical infrastructure and identify when metrics should be used to determine success,,,,
54,State ,Mexico City,Mexico,Law Enforcement Distance Coursework Development,"Create distance learning programs for International Narcotics and Law Enforcement in Mexico City, coordinating with the Embassy to develop project scope budget, timeline, and implementation plan as part of the Merida Initiative","Spanish language recommended but not required; Experience developing online curriculum highly desirable; Excellent writing skills, research experience, diplomatic communication skills, and organized; Law enforcement or teaching experience a plus",Blogging - Int.; Video - Int.; MS Office platform - Int.; Research - Adv.; Website design and development - Int.; Website editing - Adv.,Spanish - Beginner,"Must be able to work independently, but also be available to discuss progress on a periodic basis"
55,USDA,Mexico City,Mexico,Trade Show Analysis ,Follow-up with U.S. companies after their participation in U.S. pavilions at USDA-sponsored trade shows in Mexico,Good communication skills over the phone,MS Office platform - Adv.,,
56,USDA,Mexico City,Mexico,Research Assistance,Write and publish reports analyzing the affect of Mexico's participation in the Trans-Pacific Partnership (TPP) on U.S. alcoholic beverages exports and U.S. processed products exports,"Data analysis skills, writing skills, interest in free trade agreement negotiations, and understanding of the economics of international trade",MS Office platform - Adv.; Research - Adv.,,Research and draft two 10 page reports for publication via the USDA's Global Agricultural Information Network (GAIN) system.  
57,USDA,Mexico City,Mexico,Research Assistance,Write and publish reports analyzing the affect of Mexico's participation in the Trans-Pacific Partnership (TPP) on U.S. meats and dairy exports,"Data analysis skills, writing skills, interest in free trade agreement negotiations, and understanding of the economics of international trade",MS Office platform - Adv.; Research - Adv.,,Research and draft two 10 page reports for publication via the USDA's Global Agricultural Information Network (GAIN) system. 
58,USDA,Mexico City,Mexico,Research Assistance,"Write and publish reports analyzing the affect of Mexico's participation in the Trans-Pacific Partnership (TPP) on U.S. fruit and vegetable exports, and U.S. grains exports","Data analysis skills, writing skills, interest in free trade agreement negotiations, and understanding of the economics of international trade",MS Office platform - Adv.; Research - Adv.,,Research and draft two 10 page reports for publication via the USDA's Global Agricultural Information Network (GAIN) system. 
59,State ,Monterrey,Mexico,Political and Economic Analysis - Monterrey,"Analyze political and economic developments in Monterrey, Mexico's five-state district (Coahuila, Durango, Nuevo Leon, San Luis Potosi and Zacatecas) and draft summaries of major events and trends","Knowledge of Mexico and/or Latin America appreciated, but not required",Research - Int.,Spanish - Int.,The section is a combined Political-Economic section. 
60,USAID,Maputo,Mozambique,Nutrition Programs Review,"Support and strengthen USAID nutrition programming in Mozambique by reviewing and analyzing recent surveys, reviewing current U.S. Government nutrition-related investments, basic mapping, summarizing reports, identifying best practices and lessons learned","Knowledge of Portuguese is highly desired; Alternatively, knowledge of other romance language is extremely valuable",MS Office platform - Int.; Research - Adv.,,"We're looking for diligent workers who love challenging, interesting work.  These work deliverables will be highly visible, and with your great work and attention to detail, YOU will be too!"
61,State ,Managua,Nicaragua,Library Services Training and Unification,Develop and support library services training for the development and unification of library systems in Nicaragua,Library services or library sciences students preferred,MS Office platform - Int.; Research - Adv.; Social media - Int.,Spanish - Int.,
62,State ,Managua,Nicaragua,Private Development Assistance Analysis ,Support partnership with Nicaraguan students of Social Entrepreneurship (and related fields) to study the Private Development Assistance (PDA) industry in country,,MS Office platform - Int.; Research - Adv.; Social media - Int.,,Students will be fully engaged with the organizations they study and will offer recommendations based upon their analysis
63,State ,Managua,Nicaragua,Study Nicaragua Council Website,"Develop and maintain a public website to support the Study Nicaragua Council, a multi-organizational body dedicated to facilitating educational exchange between the U.S. and Nicaragua.",,Blogging - Adv.; Graphic design - Int.; Social media - Adv.; Website design and development - Adv.; Website editing - Adv.,Spanish - Beginner,
64,State ,Niamey,Niger,Virtual Education Advising,"Support the management of the Competitive College Club, to include teaching English, improving social media outreach, creating handouts on scholarships and exchange opportunities, and sharing the American college experience with Nigeriens","Knowledge of U.S. college admissions process, including applications, interviews, standardized tests, scholarships, financial aid, etc.; Knowledge of American college life;  Knowledge of French (desirable, but not required); Experience teaching English as a foreign language (desirable, but not required)",MS Office platform - Int.; Research - Int.; Social media - Int.,"French, desirable","There is low internet penetration in Niger.  To the extent that internet access is available, bandwidth is low. It is generally difficult or impossible to stream videos, including digital video conferences. For the most part, the eIntern will have to rely on email and telephone to communicate with the embassy and for outreach to Nigeriens. Creativity in overcoming technical barriers is encouraged!"
65,State ,Niamey,Niger,American Ambassador to Niger's Briefing Book,"Create a briefing book for the next American Ambassador to Niger; include all relevant statistics, explanations, and analyses of trends","African and Niger-specific knowledge a plus but not a necessity; Understanding economic, political, human rights, and other country indicators is necessary; Ability to read French highly desired",Research - Int.,French - Beginner,
66,State ,Moscow,Russia,Russian Oil & Gas Fields and Projects Documentation,Research and document oil & gas fields and projects in the Russian Federation for inclusion in an internal database,"Petroleum Engineering, Geography, Area Studies or Geology Student with interest in Russian Language or Russian Studies preferred",Research - Adv.,Russian - Beginner,"eIntern should know how to do metasearches, cull subject data from open source materials, and cite research materials.       "
67,State ,Moscow,Russia,Russian Foreign Policy Research,Assist Embassy Moscow's Political External Section in conducting research and analysis related to Russia's foreign policy,"Knowledge of Russian would greatly assist the eIntern while conducting research via Russian language electronic sources; Knowledge of Russian foreign or domestic politics and culture or about the Eurasian region would be helpful; A background in international relations, political science, or history would be helpful",Research - Int.,Russian - Int.,
68,EducationUSA,Moscow,Russia,Online Outreach for EducationUSA in Russia,"Assist Russian students interested in studying in the U.S. and support public diplomacy efforts in Russia by supporting EducationUSA's mission through peer advising, maintaining social media outlets, conducting virtual presentations, and providing research support","Basic knowledge of U.S. higher education admissions policies for international students, in-depth knowledge of the Russian higher education system, strong English writing and editing skills,  excellent public speaking skills, work or study abroad experience in Russia, experience leading workshops for youth, proficiency with Microsoft PowerPoint, ability to work independently",Blogging - Adv.; Video - Int.; Digital film editing software - Int.; MS Office platform - Int.; Research - Int.; Social media - Adv.; Web chat - Int.; Website design and development - Int.,Russian - Adv.,
69,State,Yekaterinburg,Russia,"Crossing Continents, Speaking English","Engage youth audiences on a broad range of current events and issues using regular web chats and social media platforms focusing on English language conversation, virtual advising and college prep, and developing new discussion strings on websites",Basic understanding of Russian culture/history helpful,MS Office platform - Int.; Social media - Int.; Web chat - Int.,,"The Consulate is very interested in an outgoing person, who is ready and willing to engage with Russians in a variety of formats.  The majority of the audience will be youth, and an interest in social media outreach activities is very beneficial."
70,State,Riyadh,Saudi Arabia,"Student Interviews, Saudi Arabia","Interview Saudi citizens studying in different U.S. universities for their reflections and comments on life in the U.S., their experience at an American university, and future prospects back in Saudi Arabia",,,,
71,State,Riyadh,Saudi Arabia,"Youth Issues, Saudi Arabia",Research issues facing youth in the provinces of Saudi Arabia (e.g. what youth in those provinces think about their future prospects),,Research - Adv.; Social media - Adv.,Arabic - Adv.,
72,State,Riyadh,Saudi Arabia,Saudi Youth Blogs Review,Review blogs and social media commentary by Saudi youths and provide a bi-weekly synopsis,,Research - Int.; Social media - Int.,Arabic - Adv.,
73,State ,Belgrade ,Serbia,Library Circulation App for iPad,Create an iPad app that can be used by libraries with collections in LibraryThing to track materials that are checked out and tally statistics on use,Knowledge of how to use the iOS Software Development Kit (SDK) and Xcode IDE is required. (info here: https://developer.apple.com/devcenter/ios/index.action and here: https://developer.apple.com/ipad/sdk/index.html).      ,Graphic design - Beginner; Website design and development - Int.,,An Apple computer is required to run the tools and software required to develop an iPad app.  A free developer account is required.  Membership in the iOS Developer program to test and deploy the app is NOT required.  Preliminary testing can be done with the free simulation tools in the software development kit.
74,State ,Belgrade ,Serbia,Library Circulation App for Android,Create an Android app that can be used by libraries with collections in LibraryThing to track materials that are checked out and tally statistics on use,Knowledge of how to use the Android Software Development Kit is required (information here: http://developer.android.com/tools/index.html),Graphic design - Beginner; Website design and development - Int.,,"The free Android SDK must be downloaded, and runs on Ubuntu Linux, Apple OS, and Windows, as well as other operating systems listed on the download page."
75,State ,Bratislava,Slovakia,Alumni Network Development,Support virtual engagement of alumni of State Department exchange programs in Slovakia through social media or other online contact,"Familiarity with Central Europe preferred.  Slovak language is NOT required, as the majority of alumni speak English",Video - Beginner; Social media - Int.; Web chat - Int.,,
76,State ,Johannesburg,South Africa,EducationUSA East and Southern Africa,Work with the EducationUSA team on educational advising communication efforts via mobile technology in Sub-Saharan Africa. ,"Familiarity with youth mobile usage and social media trends, desk (secondary) and qualitative research techniques and methodologies; Strong writing, reporting and communication skills; Ability to work well alone and as part of a team; a self-starter",Blogging - Adv.; Research - Adv.; Social media - Adv.; Web chat - Adv.; Webcam - Adv.,,
77,State,Pretoria,South Africa,Cyber Resource Research,"Work with Computer Security Office on multiple unique projects utilizing Linux, Windows and other open source tools","Strong interest in technology and specifically Linux, Windows, and MySQL and/or other databases; Familiarity with Matlab or Ox; Some experience with programming especially Ruby, Python and/or VB scripts;  Interest or experience in regression analysis, optimization modeling or similar",MS Office platform - Adv.; Research - Int.,,
78,State ,Johannesburg,South Africa,African Media Analysis,Conduct online research to create weekly reports of media coverage of U.S. policy and policy makers in Africa from both traditional and social media in sub-Saharan Africa,"Background in traditional or social media analysis, U.S. foreign policy and/or African studies helpful; Language ability in any of the languages widely used in Africa an advantage",Research - Int.; Social media - Int.,,
79,USDA,Madrid,Spain,Agricultural Research ,Promote the image of U.S. agriculture by highlighting its diversity and quality captured in various media to be used in outreach activities,Agriculture background a plus,Video - Int.; MS Office platform - Int.; Research - Adv.; Social media - Adv.; Video recorder - Int.,,
80,State ,Khartoum,Sudan,Virtual Education Resources,Create online learning portal for students in Sudan to access online learning resources from colleges and universities in the United States.,,Blogging - Int.; Video - Int.; Social media - Adv.; Video recorder - Int.; Web chat - Int.; Webcam - Int.; Website design and development - Int.,,
81,State ,Dushanbe,Tajikistan,American Corners Tajikistan,Promote cross-cultural awareness by developing content and programming (including web-chats) for American Corners in Tajikistan,"Knowledge of Central Asia helpful, but not required; Enthusiasm, self-drive, and creativity are must-haves",Web chat - Adv.; Webcam - Beginner,,
82,USAID,Dar es Salaam,Tanzania,eTraining App Development,Turn publicly available regulations from Federal Acquisition Regulation and USAID Automated Directive System into training materials using Google or iPad / iPhone apps,Knowledge ability designing / developing Google and / or iPad / iPhone apps.,MS Office platform - Int.; Research - Int.; Website design and development - Int.,,
